Restaurant;Location;Cuisines;Average_Cost;Minimum_Order;Rating;Votes;Reviews;Delivery_Time
ID_2962;Pune University;North Indian, Rolls, Chinese;200;50;3.9;348;105;30 minutes
ID_6091;Mico Layout, Stage 2, BTM Layout,Bangalore;Andhra, Biryani;200;50;3.4;15;7;30 minutes
ID_2198;Majestic;Street Food;100;50;4.1;260;100;65 minutes
ID_4654;FTI College, Law College Road, Pune;Burger, Fast Food;200;50;3.9;326;106;30 minutes
ID_3712;Dockyard Road, Mumbai CST Area;Street Food;100;50;3.5;18;8;30 minutes
ID_1858;Tejas Nagar Colony, Wadala West, Mumbai;North Indian, South Indian, Assamese, Maharashtrian, Bengali;200;50;NEW;-;-;30 minutes
ID_4395;D-Block, Sector 63, Noida;North Indian, Lucknowi;200;50;2.8;150;89;45 minutes
ID_3814;Delhi Administration Flats, Timarpur;Fast Food, Beverages;150;50;3.7;35;21;30 minutes
ID_7226;Sector 14, Noida;North Indian;100;50;3.0;7;1;30 minutes
ID_2915;MG Road, Pune;North Indian;200;50;3.3;28;9;30 minutes
ID_5719;Mico Layout, Stage 2, BTM Layout,Bangalore;Pizza;200;50;3.5;87;37;45 minutes
ID_1532;Sector 14, Noida;Chinese, Fast Food;150;50;3.5;187;65;30 minutes
ID_3539;FTI College, Law College Road, Pune;Desserts, Ice Cream;100;50;2.6;28;13;30 minutes
ID_2677;MG Road, Pune;North Indian, Chinese, Street Food;150;50;2.8;-;-;30 minutes
ID_1203;FTI College, Law College Road, Pune;Fast Food;150;50;3.0;4;-;30 minutes
ID_4645;Babarpur, New Delhi, Delhi;North Indian, Fast Food;300;50;3.5;15;7;30 minutes
ID_1210;Rmz Centennial, I Gate, Whitefield;Beverages, Cafe, Sandwich, Fast Food, Desserts;250;50;3.8;118;69;45 minutes
ID_7260;Sector 3, Marathalli;North Indian, Mughlai;150;50;NEW;-;-;30 minutes
ID_1996;Mico Layout, Stage 2, BTM Layout,Bangalore;North Indian;150;50;-;-;-;30 minutes
ID_7796;Rmz Centennial, I Gate, Whitefield;Street Food, Beverages;100;50;-;-;-;30 minutes
ID_1324;D-Block, Sector 63, Noida;Bakery;200;50;3.1;12;2;30 minutes
ID_1885;Delhi Cantt.;North Indian;300;50;4.2;-;-;45 minutes
ID_2885;Nathan Road, Mangaldas Road, Pune;German, Italian, Cafe;450;50;4.3;4691;2547;45 minutes
ID_3351;Mico Layout, Stage 2, BTM Layout,Bangalore;North Indian, South Indian, Chinese, Arabian;350;50;3.1;89;10;30 minutes
ID_5223;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;North Indian;100;50;3.9;70;9;30 minutes
ID_2093;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;North Indian, Mughlai;150;50;3.1;9;2;30 minutes
ID_5969;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Mithai;50;50;2.8;11;2;30 minutes
ID_4654;Mico Layout, Stage 2, BTM Layout,Bangalore;Burger, Fast Food;200;50;3.8;349;159;45 minutes
ID_8146;MG Road, Pune;Finger Food, North Indian;300;50;3.0;6;1;30 minutes
ID_7674;D-Block, Sector 63, Noida;North Indian, Chinese;250;99;4.5;143;110;65 minutes
ID_7677;D-Block, Sector 63, Noida;Bakery;150;50;3.2;7;3;30 minutes
ID_4484;Mico Layout, Stage 2, BTM Layout,Bangalore;Fast Food, Beverages;100;50;-;-;-;30 minutes
ID_669;Delhi High Court, India Gate;North Indian, South Indian, Fast Food, Beverages;150;50;3.6;81;42;30 minutes
ID_4064;Mumbai Central;Street Food;50;50;3.7;63;36;45 minutes
ID_1181;Sector 1, Noida;Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages;200;50;3.4;417;181;45 minutes
ID_4609;Mumbai Central;Street Food, Fast Food;150;50;3.4;20;16;30 minutes
ID_5401;D-Block, Sector 63, Noida;Chinese;150;50;4.2;124;109;30 minutes
ID_1215;Pune University;Fast Food, Street Food, Momos;100;50;3.3;12;1;30 minutes
ID_1773;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;North Indian, Fast Food;200;50;2.9;47;10;45 minutes
ID_1452;Rmz Centennial, I Gate, Whitefield;Street Food, Fast Food;100;50;4.0;242;179;65 minutes
ID_5440;Yerawada, Pune, Maharashtra;Italian, Beverages;300;50;3.5;12;5;30 minutes
ID_553;Sector 1, Noida;Mughlai;150;50;3.4;9;2;30 minutes
ID_622;FTI College, Law College Road, Pune;Fast Food;100;50;-;-;-;30 minutes
ID_6537;D-Block, Sector 63, Noida;Biryani, North Indian, Mughlai, Kebab, Rolls;250;99;4.7;706;490;30 minutes
ID_6951;Panjetan Colony, Malakpet, Hyderabad;South Indian;50;50;4.0;109;28;30 minutes
ID_8413;Pune University;Desserts;150;50;4.4;584;343;45 minutes
ID_5237;Delhi Administration Flats, Timarpur;Fast Food, Rolls, Beverages;150;50;3.6;37;16;30 minutes
ID_1005;Delhi University-GTB Nagar;Street Food, Fast Food;150;50;4.3;253;118;30 minutes
ID_5181;Mico Layout, Stage 2, BTM Layout,Bangalore;North Indian, Chinese;150;50;3.4;123;37;30 minutes
ID_1766;Yerawada, Pune, Maharashtra;Chettinad, North Indian, Seafood;200;50;4.1;1665;690;30 minutes
ID_6145;Pune University;Ice Cream, Fast Food;150;50;3.3;9;3;30 minutes
ID_1972;Delhi High Court, India Gate;Pizza, Burger, Fast Food, Desserts;200;50;3.9;191;72;45 minutes
ID_8614;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Biryani, Mughlai;100;50;-;-;-;30 minutes
ID_308;Rmz Centennial, I Gate, Whitefield;Chinese, South Indian, North Indian;250;50;3.0;4;2;30 minutes
ID_4468;Sector 1, Noida;South Indian;150;50;3.5;40;6;30 minutes
ID_7468;Yerawada, Pune, Maharashtra;North Indian, Street Food, Desserts;150;50;4.0;696;296;45 minutes
ID_7299;Mumbai Central;Bakery, Desserts;150;50;3.8;72;33;45 minutes
ID_4827;Sector 63A,Gurgaon;Chinese, Fast Food, North Indian, Momos;200;99;4.0;334;164;45 minutes
ID_8391;Sector 1, Noida;Cafe, Desserts;200;50;NEW;-;-;30 minutes
ID_8049;Sector 1, Noida;North Indian, Mughlai, Momos;250;50;3.8;173;29;45 minutes
ID_1171;Mumbai Central;Juices;100;50;3.1;5;2;30 minutes
ID_4137;Moulali, Kolkata;Desserts, Beverages;200;50;4.1;62;50;30 minutes
ID_8129;Tiretti, Kolkata;Chinese, North Indian;100;50;3.8;85;27;30 minutes
ID_7583;Raja Bazar, Kolkata;Sandwich, Italian, Desserts;250;50;3.8;224;129;45 minutes
ID_5352;D-Block, Sector 63, Noida;Mughlai;200;50;-;-;-;30 minutes
ID_6908;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;North Indian;100;50;-;-;-;30 minutes
ID_1316;Delhi High Court, India Gate;Cafe, Italian;600;50;4.2;2653;1581;65 minutes
ID_3332;Yerawada, Pune, Maharashtra;North Indian, Chinese;150;50;-;-;-;30 minutes
ID_7412;Delhi Cantt.;North Indian, Chinese, Rolls;150;50;4.8;326;234;30 minutes
ID_8503;Yerawada, Pune, Maharashtra;Bengali, Fast Food;300;50;3.5;90;45;45 minutes
ID_8382;FTI College, Law College Road, Pune;North Indian, Street Food;200;50;3.9;175;59;45 minutes
ID_5921;FTI College, Law College Road, Pune;North Indian;150;50;3.1;4;-;30 minutes
ID_463;Rmz Centennial, I Gate, Whitefield;Ice Cream, Desserts;200;50;4.1;-;-;30 minutes
ID_1460;Babarpur, New Delhi, Delhi;Mithai;100;50;3.3;15;7;30 minutes
ID_4202;Dockyard Road, Mumbai CST Area;Parsi, Bakery;200;50;4.0;4335;2363;30 minutes
ID_975;Mumbai Central;Japanese, Sushi;400;50;3.6;163;72;45 minutes
ID_8359;Sector 1, Noida;North Indian, Chinese;550;50;3.4;53;24;30 minutes
ID_6548;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Beverages, Desserts, Ice Cream;150;50;2.9;6;2;45 minutes
ID_2002;Delhi Cantt.;Rolls;50;50;3.1;6;2;30 minutes
ID_7261;Mumbai Central;North Indian, South Indian, Chinese, Fast Food;350;50;3.0;19;5;45 minutes
ID_7696;Rmz Centennial, I Gate, Whitefield;North Indian, Chinese;150;99;3.9;216;115;45 minutes
ID_4095;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;North Indian, Chinese;200;50;3.7;45;12;45 minutes
ID_5986;Nathan Road, Mangaldas Road, Pune;North Indian, Chinese;200;50;3.8;302;138;45 minutes
ID_7172;Tejas Nagar Colony, Wadala West, Mumbai;North Indian;150;50;2.8;16;8;45 minutes
ID_2780;Dockyard Road, Mumbai CST Area;Fast Food, Chinese;200;50;3.1;76;36;45 minutes
ID_6441;Delhi University-GTB Nagar;Street Food;100;50;3.1;4;1;30 minutes
ID_2164;Pune University;Ice Cream, Fast Food, Beverages;150;50;NEW;-;-;30 minutes
ID_2053;Pune University;South Indian;150;50;3.6;87;45;45 minutes
ID_1172;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Cafe;200;50;3.3;9;1;30 minutes
ID_3499;Tiretti, Kolkata;Chinese, Fast Food;100;50;3.2;12;7;30 minutes
ID_62;Mico Layout, Stage 2, BTM Layout,Bangalore;Chinese, Fast Food, North Indian, Mughlai;300;50;3.4;298;175;65 minutes
ID_5414;Rmz Centennial, I Gate, Whitefield;Desserts;150;50;3.6;18;3;45 minutes
ID_7309;Dockyard Road, Mumbai CST Area;Fast Food, Street Food, Beverages;150;50;3.7;77;39;45 minutes
ID_1639;Raja Bazar, Kolkata;Fast Food, American;150;50;3.5;101;53;45 minutes
ID_3106;Mumbai Central;Fast Food, Mughlai;100;50;3.9;116;66;45 minutes
ID_2617;Pune University;Fast Food, Biryani, Beverages;200;50;-;-;-;30 minutes
ID_2041;Yerawada, Pune, Maharashtra;Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental;650;50;4.4;3248;1603;45 minutes
ID_2673;Sector 1, Noida;Chinese, North Indian;200;50;3.6;125;29;30 minutes
ID_7912;Delhi University-GTB Nagar;Pizza, Beverages;350;50;3.3;11;6;30 minutes
ID_3779;Tiretti, Kolkata;Beverages, Juices, Fast Food;100;50;3.6;31;15;30 minutes
ID_3683;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;North Indian;150;50;3.0;4;1;30 minutes
ID_4508;Mico Layout, Stage 2, BTM Layout,Bangalore;Chinese, North Indian;150;50;3.1;192;50;45 minutes
ID_4878;Mico Layout, Stage 2, BTM Layout,Bangalore;Cafe, Continental, Italian;400;50;4.2;2828;1443;45 minutes
ID_2802;D-Block, Sector 63, Noida;Bakery, Desserts;150;50;3.2;6;4;30 minutes
ID_2814;Delhi High Court, India Gate;Japanese, Sushi, Asian;800;50;4.2;721;390;45 minutes
ID_188;Panjetan Colony, Malakpet, Hyderabad;North Indian, Mughlai;150;50;3.3;4;2;30 minutes
ID_4614;D-Block, Sector 63, Noida;North Indian, Mughlai;200;50;3.7;66;42;30 minutes
ID_7647;D-Block, Sector 63, Noida;Chinese, Fast Food, Momos;150;50;-;-;-;30 minutes
ID_5499;Sector 3, Marathalli;North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages;150;50;3.5;45;29;45 minutes
ID_7594;Mumbai Central;Burger;200;50;NEW;-;-;30 minutes
ID_6436;MG Road, Pune;South Indian;150;50;3.9;219;108;30 minutes
ID_4298;Mumbai Central;Salad, Beverages, Healthy Food, Desserts;200;50;3.5;36;24;65 minutes
ID_7158;Mico Layout, Stage 2, BTM Layout,Bangalore;Ice Cream, Cafe, Pizza, Burger, Beverages;200;50;4.5;2805;1457;45 minutes
ID_7750;Mico Layout, Stage 2, BTM Layout,Bangalore;Asian, Biryani, North Indian, Desserts;200;50;4.1;37;30;45 minutes
ID_7397;Sector 63A,Gurgaon;Continental, Burger, Wraps, Beverages;150;50;4.0;34;27;30 minutes
ID_5574;Delhi University-GTB Nagar;Fast Food, Chinese;150;50;NEW;-;-;30 minutes
ID_4635;FTI College, Law College Road, Pune;Street Food;100;50;NEW;-;-;30 minutes
ID_6659;Jaya Nagar, Saidabad, Hyderabad;Chinese;100;50;-;-;-;30 minutes
ID_621;Sector 63A,Gurgaon;Mithai, Street Food, Chinese;150;50;3.3;35;16;65 minutes
ID_7260;Majestic;North Indian, Mughlai;150;50;NEW;-;-;30 minutes
ID_5602;Sector 1, Noida;North Indian, Chinese;250;50;2.8;27;11;30 minutes
ID_7252;Rmz Centennial, I Gate, Whitefield;Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese;250;50;3.9;163;112;30 minutes
ID_2879;Sandhurst Road, Mumbai CST Area;South Indian, North Indian, Fast Food;200;50;3.7;182;107;45 minutes
ID_2637;Majestic;Chinese, North Indian, Street Food;150;50;NEW;-;-;30 minutes
ID_6278;Nathan Road, Mangaldas Road, Pune;Chinese, Cantonese;1;50;4.7;441;259;30 minutes
ID_4625;Delhi Administration Flats, Timarpur;North Eastern, Momos, Fast Food, Beverages, Tibetan;100;50;2.9;-;-;30 minutes
ID_3176;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Fast Food, Chinese;150;50;3.5;26;6;30 minutes
ID_6778;Pune University;Street Food;100;50;-;-;-;30 minutes
ID_6312;MG Road, Pune;Maharashtrian, South Indian, Chinese;150;50;3.3;12;7;30 minutes
ID_6002;D-Block, Sector 63, Noida;Bakery;50;50;3.2;11;1;30 minutes
ID_3655;Dockyard Road, Mumbai CST Area;Mithai;100;99;3.9;60;15;45 minutes
ID_3288;Mico Layout, Stage 2, BTM Layout,Bangalore;North Indian, South Indian, Fast Food;100;50;-;-;-;30 minutes
ID_6406;Raja Bazar, Kolkata;Biryani, Mughlai;100;50;3.6;353;53;30 minutes
ID_1059;Sector 3, Marathalli;Chinese, North Indian;100;50;-;-;-;30 minutes
ID_8302;Babarpur, New Delhi, Delhi;North Indian, Rolls;100;50;3.6;27;12;30 minutes
ID_6710;Sector 1, Noida;Pizza, Fast Food;150;50;3.7;43;9;30 minutes
ID_731;Raja Bazar, Kolkata;Bengali;150;50;-;-;-;30 minutes
ID_2132;Mumbai Central;Fast Food;100;50;3.3;10;4;30 minutes
ID_3491;Sector 3, Marathalli;Chinese, Thai;200;50;3.5;13;9;30 minutes
ID_6264;D-Block, Sector 63, Noida;North Indian, Chinese, Mughlai;300;50;3.4;47;25;30 minutes
ID_437;Babarpur, New Delhi, Delhi;North Indian, Fast Food;100;50;3.3;10;-;30 minutes
ID_6300;Sector 3, Marathalli;Mithai, Street Food;150;50;3.4;13;1;30 minutes
ID_7465;Mico Layout, Stage 2, BTM Layout,Bangalore;Tibetan, Chinese, Momos;250;50;4.2;633;269;45 minutes
ID_1148;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Fast Food, Burger;150;50;3.5;23;6;30 minutes
ID_8026;Nathan Road, Mangaldas Road, Pune;Street Food, Fast Food, Beverages;150;50;3.4;13;10;45 minutes
ID_462;Mumbai Central;Bakery;300;50;3.8;77;52;30 minutes
ID_2237;Sector 1, Noida;North Indian, Chinese;300;50;-;-;-;30 minutes
ID_7266;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;North Indian, Fast Food, Chinese;200;50;NEW;-;-;30 minutes
ID_1209;Moulali, Kolkata;Cafe, Desserts;300;50;3.6;54;34;30 minutes
ID_3624;Delhi University-GTB Nagar;Cafe, Fast Food;200;50;-;-;-;30 minutes
ID_376;D-Block, Sector 63, Noida;Andhra, Hyderabadi, Biryani, South Indian, North Indian, Rolls, Mughlai;200;50;3.7;112;41;30 minutes
ID_3209;Sector 1, Noida;Fast Food, Healthy Food;100;50;NEW;-;-;10 minutes
ID_6128;Majestic;North Indian, Chinese;150;50;-;-;-;30 minutes
ID_2947;Sector 1, Noida;North Indian, Chinese, Mughlai;250;50;3.6;76;38;30 minutes
ID_911;Sector 14, Noida;Biryani;100;50;NEW;-;-;30 minutes
ID_3342;D-Block, Sector 63, Noida;North Indian, Chinese;200;50;-;-;-;65 minutes
ID_1427;MG Road, Pune;Italian, Fast Food;200;50;3.7;101;29;45 minutes
ID_534;Sector 63A,Gurgaon;North Indian;150;50;4.1;144;33;30 minutes
ID_5511;Mico Layout, Stage 2, BTM Layout,Bangalore;North Indian;100;50;3.5;49;7;30 minutes
ID_5405;Sector 1, Noida;Desserts, Bakery;150;50;3.5;20;16;30 minutes
ID_1004;Mumbai Central;Fast Food, Sandwich;100;50;3.0;4;1;30 minutes
ID_6107;Dockyard Road, Mumbai CST Area;Italian, Lebanese, North Indian;150;50;3.2;15;7;30 minutes
ID_7260;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;North Indian, Mughlai, Beverages;150;50;-;-;-;30 minutes
ID_4625;Babarpur, New Delhi, Delhi;North Eastern, Momos, Fast Food, Beverages, Tibetan;100;50;2.9;-;-;30 minutes
ID_4593;Dockyard Road, Mumbai CST Area;Chinese, Mughlai, North Indian, Seafood, Biryani;200;50;3.8;426;196;45 minutes
ID_4031;FTI College, Law College Road, Pune;Ice Cream;100;50;4.0;61;40;30 minutes
ID_6013;Raja Bazar, Kolkata;Cafe, Spanish, Italian, Mexican, Salad, Juices;250;50;4.1;1307;794;45 minutes
ID_2862;MG Road, Pune;Salad;150;50;3.7;26;10;30 minutes
ID_6448;Nathan Road, Mangaldas Road, Pune;Chinese, North Indian, Mughlai;250;50;3.1;9;1;30 minutes
ID_3752;Sector 3, Marathalli;North Indian, South Indian;200;99;3.2;7;2;65 minutes
ID_4189;Chandni Chowk, Kolkata;South Indian, Fast Food;100;50;-;-;-;30 minutes
